Type,Entry,Variations,Party,Country,EU,source_file,source_sheet,source_row
Name,Jean-Luc Melenchon,"Melenchon, Jean-Luc Melenchon",France Unbowed,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,31
Name,Catherine Griset,Catherine Griset,National Rally,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,32
Name,Marie Toussaint,"Marie Toussaint, Marine Toussaint, Marie Toussant",The Ecologists,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,33
Name,The Left,the left party,Radical Party of the Left–R&PS–Volt–MdP–MDC–CSDR,Unknown,0,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,34
Name,François Asselineau,"Asselineau, François Asselineau",Popular Republican Union,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,35
Name,Sandrine Rousseau,Sandrine Rousseau,The Ecologists,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,36
Party,The Republicans–The Centrists,"Les Républicains, Les républicains, LR",The Republicans–The Centrists,Unknown,0,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,37
Name,Emmanuel Macron,"Aymeric Emmanuel Macron, Emmanuel Macron, macron, Emanuel Macron, Macron, E Macron",La République En Marche!,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,38
Party,Popular Republican Union,UPR,Popular Republican Union,Unknown,0,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,39
Name,Valérie Pécresse,"Valerie Pecraisse, Pécresse, Valérie Pécresse, Valerie Pecresse",The Republicans,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,40
Party,National Rally–LAF–LDP,"National Rally, RN, Français",National Rally–LAF–LDP,Unknown,0,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,41
Party,Reconquête–MC,"Reconquête, reconquête",Reconquête–MC,Unknown,0,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,42
Name,David Guiraud,"David Guirau, David Guiraud, David Giraud",La France Insoumise,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,43
Name,Alma Dufour,"Alma Dufour, Alma Dufur, Aalma Dufour",La France Insoumise,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,44
Party,Defend the Children,"Philippe de Villiers, Pierre de Gaulle",Defend the Children,Unknown,0,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,45
Name,Meyer Habib,"Habib, Mayer Habib, Habib Hayer, Meyer Habib",The Republicans,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,46
Name,Nadine Morano,Nadine Morano,The Republicans,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,47
Name,Sébastien Delogu,"Sebastien Delogu, Sébastien Delogu, Sébastien Dolugu",La France Insoumise,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,48
Name,Sarah Knafo,"Sara Knafo, Sarah Knafo, Darah Knafo",Reconquest,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,49
Name,Céline Imart,"Céline Imart, Céline Impart",The Republicans,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,50
Name,Maria Zakharova,Maria Zakharova,Others,Russia,0,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,51
Name,Papacito,"Papacito, Capacito",Others,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,52
Name,Florian Philippot,"Philippot, Florian Flippot, Florian Philippot, Florian Philoppot, François Philippot",The Patriots,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,53
Name,David Lisnard,Lisnard,The Republicans,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,54
Name,Prisca Thevenot,"Prisca Thevenot, Priscat Thévenot",Renaissance,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,55
Party,Renaissance–MoDem–Horizons–RAD–UDI–FP–FED–CD–CÉR,Renaissance,Renaissance–MoDem–Horizons–RAD–UDI–FP–FED–CD–CÉR,Unknown,0,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,56
Name,Rassemblement National,"National Assembly, Rassemblement national",National Rally,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,57
Name,Renew Europe,Renew,Renew Europe,Europe,0,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,58
Name,Jean Lassalle,"Lassalle, Jean Lassalle",Résistons!,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,59
Name,Volodymyr Zelenskyy,Volodymyr Zelensky,Servant of the People,Ukraine,0,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,60
Name,François Ruffin,"François Raffin, Francois Raffin, François Ruffin, Ruffin, Raffin, Francois Ruffin",France Unbowed,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,61
Name,Olivier Faure,Faure,Socialist Party,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,62
Party,Socialist Party–Place Publique–New Deal,PS,Socialist Party–Place Publique–New Deal,Unknown,0,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,63
Name,Éric Ciotti,"Ciotti, Eric Ciotti",The Republicans,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,64
Name,Julien Odoul,Julien Odoul,National Rally,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,65
Name,Jean Messiha,Jean Messiha,Reconquête,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,66
Name,Laurent Wauquiez,"Wauquiez, Laurent Wauquiez",The Republicans,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,67
Name,Marine Tondelier,Marine Tondelier,Europe Ecology – The Greens,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,68
Party,The Ecologists,"Greens, green, Green",The Ecologists,Unknown,0,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,69
